question,answer
Alternativas para Deadlift,"Três alternativas para Deadlift são Deadlift Romeno, Deadlift com Barra Hexagonal."
Alternativas para substituir Agachamento com Halter,"Três alternativas para Agachamento com Halter são Agachamento, Agachamento Frontal."
Alternativas para Pec Deck Fly,"Três alternativas para Pec Deck Fly são Chest Fly, Cable Crossover."
Alternativas para Biceps Martelo,"Três alternativas para Biceps Martelo são Biceps martelo, Biceps na corda (utlizar maquina de cabos)."
Quais músculos são trabalhados por um(a) Chest Press?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Qual é a forma correta para Puxada Alta?,"Levante os pesos até a altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Halteres"
Quais são algumas alternativas para Elevacao Pelvica?,"Três alternativas para Elevacao Pelvica são Glute Bridge, Deadlift Romeno."
Você pode explicar como fazer um(a) Plank?,"Três alternativas para Plank são Side Plank, Mountain Climbers."
Alternativas para substituir Puxada Alta,"Três alternativas para Puxada Alta são Front Raise, Bent Over Lateral Raise."
Alternativas para substituir Agachamento no Hack,"Três alternativas para Agachamento no Hack são Agachamento, Leg Press."
Alternativas para substituir Remada Sentada,"Três alternativas para Remada Sentada são Remada Curvada, Remada em T."
Como faço para fazer um(a) Cable Crossover?,"Puxe as alças juntas em frente ao peito e depois solte novamente.. Este exercício é considerado de nível Intermediário, e requer Máquina de Cabos"
Quais músculos são trabalhados por um(a) Elevacao de Pernas (Barra)?,"Músculo principal: Core, músculos secundários: Flexores do Quadril."
Alternativas para substituir Elevacao Pelvica,"Três alternativas para Elevacao Pelvica são Glute Bridge, Deadlift Romeno."
Quais são algumas alternativas para Plank?,"Três alternativas para Plank são Side Plank, Mountain Climbers."
Como faço para fazer um(a) Triceps na polia?,"Puxe a alça para baixo até os quadris e depois solte novamente.. Este exercício é considerado de nível Iniciante, e requer Máquina de Cabos"
Quais músculos o(a) Supino inclinado trabalha?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Você pode explicar como fazer um(a) Deadlift Romeno?,"Três alternativas para Deadlift Romeno são Deadlift, Good Morning."
Qual é a forma correta para Triceps na polia?,"Puxe a alça para baixo até os quadris e depois solte novamente.. Este exercício é considerado de nível Iniciante, e requer Máquina de Cabos"
Qual é a forma correta para Russian Twist?,"Sente-se com os pés fora do chão, torça o tronco de um lado para o outro.. Este exercício é considerado de nível Intermediário, e requer Peso Corporal, Medicine Ball"
Qual é a forma correta para Agachamento Frontal?,"Segure a barra na frente dos ombros, abaixe para agachar e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Quais músculos o(a) Push-Up trabalha?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Quais músculos são trabalhados por um(a) Remada Inclinada?,"Músculo principal: Costas, músculos secundários: Bíceps, Ombros."
Como faço para executar um(a) Agachamento Frontal?,"Segure a barra na frente dos ombros, abaixe para agachar e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Você pode explicar como fazer um(a) Mountain Climbers?,"Três alternativas para Mountain Climbers são Plank, Bicycle Crunches."
Você pode explicar como fazer um(a) Leg Press?,"Três alternativas para Leg Press são Agachamento, Agachamento no Hack."
Quais músculos o(a) Agachamento Frontal trabalha?,"Músculo principal: Pernas, músculos secundários: Glúteos, Core."
Qual é a forma correta para Remada Inclinada?,"Dobre os quadris, mantenha as costas retas, puxe o peso em direção ao tronco e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Você pode explicar como fazer um(a) Deadlift?,"Três alternativas para Deadlift são Deadlift Romeno, Deadlift com Barra Hexagonal."
Como faço para fazer um(a) Supino inclinado?,"Pressione o peso acima da cabeça enquanto deitado em um banco inclinado.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Quais músculos o(a) Triceps na polia trabalha?,"Músculo principal: Tríceps, músculos secundários: Nenhum."
Como faço para executar um(a) Leg Press?,"Empurre a plataforma com as pernas e depois volte lentamente à posição inicial.. Este exercício é considerado de nível Intermediário, e requer Máquina de Leg Press"
Alternativas para substituir Deadlift,"Três alternativas para Deadlift são Deadlift Romeno, Deadlift com Barra Hexagonal."
Como faço para executar um(a) Supino inclinado?,"Pressione o peso acima da cabeça enquanto deitado em um banco inclinado.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Como faço para fazer um(a) Supino Reto?,"Deite-se em um banco, abaixe a barra até o peito e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Você pode explicar como fazer um(a) Agachamento Frontal?,"Três alternativas para Agachamento Frontal são Agachamento, Agachamento com Halter."
Como faço para fazer um(a) Puxada Alta?,"Puxe a barra até o peito e depois solte lentamente.. Este exercício é considerado de nível Intermediário, e requer Máquina de Puxada na Barra"
Como faço para fazer um(a) Chest Fly?,"Deite-se em um banco, abra os braços e depois traga-os de volta juntos.. Este exercício é considerado de nível Intermediário, e requer Halteres, Máquina de Cabos"
Quais são algumas alternativas para Deadlift?,"Três alternativas para Deadlift são Deadlift Romeno, Deadlift com Barra Hexagonal."
Você pode explicar como fazer um(a) Puxada Alta?,"Três alternativas para Puxada Alta são Front Raise, Bent Over Lateral Raise."
Alternativas para substituir Elevacao de Pernas (Barra),"Três alternativas para Elevacao de Pernas (Barra) são Elevacao de Joelhos, Elevacao de Quadril."
Alternativas para substituir Chest Fly,"Três alternativas para Chest Fly são Pec Deck Fly, Cable Crossover."
Como faço para fazer um(a) Triceps na polia?,"Puxe a alça para baixo até os quadris e depois solte novamente.. Este exercício é considerado de nível Iniciante, e requer Máquina de Cabos"
Quais são algumas alternativas para Supino Reto?,"Três alternativas para Supino Reto são Press com Halteres, Bench Press Inclinado."
Quais músculos são trabalhados por um(a) Deadlift?,"Músculo principal: Costas, músculos secundários: Glúteos, Isquiotibiais."
Você pode explicar como fazer um(a) Overhead Press?,"Três alternativas para Overhead Press são Arnold Press, Dumbbell Shoulder Press."
Quais músculos são trabalhados por um(a) Chest Fly?,"Músculo principal: Peito, músculos secundários: Ombros."
Alternativas para substituir Supino Reto,"Três alternativas para Supino Reto são Press com Halteres, Bench Press Inclinado."
Alternativas para Agachamento Frontal,"Três alternativas para Agachamento Frontal são Agachamento, Agachamento com Halter."
Como faço para fazer um(a) Face pull?,"Rear Delt Fly, Band Pull Apart. Este exercício é considerado de nível Intermediário, e requer Puxe as alças em direção ao rosto e depois solte novamente."
Quais são algumas alternativas para Triceps na polia?,"Três alternativas para Triceps na polia são Tricep Extension, Skull Crushers."
Quais músculos o(a) Elevacao lateral trabalha?,"Músculo principal: Ombros, músculos secundários: Trapezios."
Alternativas para Remada Sentada,"Três alternativas para Remada Sentada são Remada Curvada, Remada em T."
Como faço para fazer um(a) Remada Inclinada?,"Dobre os quadris, mantenha as costas retas, puxe o peso em direção ao tronco e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Você pode explicar como fazer um(a) Barra Fixa?,"Três alternativas para Barra Fixa são Chin-Up, Puxada na Barra."
Quais músculos o(a) Deadlift Romeno trabalha?,"Músculo principal: Isquiotibiais, músculos secundários: Glúteos, Parte Inferior das Costas."
Como faço para executar um(a) Barra Fixa?,"Pendure-se em uma barra, puxe o corpo até que o queixo fique acima da barra, depois desça.. Este exercício é considerado de nível Intermediário, e requer Barra de Pull-Up"
Qual é a forma correta para Overhead Press?,"Pressione o peso acima da cabeça a partir da altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Qual é a forma correta para Rosca Direta?,"Levante os pesos em direção aos ombros e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Halteres, Barra"
Alternativas para Leg Press,"Três alternativas para Leg Press são Agachamento, Agachamento no Hack."
Qual é a forma correta para Agachamento com Halter?,"Segure um halter no peito, abaixe para agachar e depois levante novamente.. Este exercício é considerado de nível Iniciante, e requer Halter"
Você pode explicar como fazer um(a) Triceps na polia?,"Três alternativas para Triceps na polia são Tricep Extension, Skull Crushers."
